id;day;trial;date;size;errors;time;rate_error;rate_time;degree_ornam;female_accep;neophobia;body_condition;degree_mat_female
M5;3;15;06/06/19;4.012;1;36;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;4;16;07/06/19;4.012;1;15;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;4;17;07/06/19;4.012;6;95;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;4;18;07/06/19;4.012;2;58;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;4;19;07/06/19;4.012;3;47;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;4;20;07/06/19;4.012;2;50;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;5;21;08/06/19;4.012;1;15;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;5;22;08/06/19;4.012;2;35;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;5;23;08/06/19;4.012;2;34;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;5;24;08/06/19;4.012;3;61;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M5;5;25;08/06/19;4.012;3;56;-0,1284615;-0,0450632;-0,0264286;Rejected;0,6304000;0,0206370;-0,0066958
M6;1;1;04/06/19;3.718;3;312;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;1;2;04/06/19;3.718;3;41;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;1;3;04/06/19;3.718;5;348;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;1;4;04/06/19;3.718;7;86;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;1;5;04/06/19;3.718;4;48;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;2;6;05/06/19;3.718;3;39;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;2;7;05/06/19;3.718;2;57;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;2;8;05/06/19;3.718;3;30;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;2;9;05/06/19;3.718;1;27;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;2;10;05/06/19;3.718;3;30;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;3;11;06/06/19;3.718;4;14;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;3;12;06/06/19;3.718;5;61;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;3;13;06/06/19;3.718;2;25;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;3;14;06/06/19;3.718;3;39;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;3;15;06/06/19;3.718;2;23;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;4;16;07/06/19;3.718;1;23;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;4;17;07/06/19;3.718;3;25;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;4;18;07/06/19;3.718;2;24;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;4;19;07/06/19;3.718;1;14;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;4;20;07/06/19;3.718;3;65;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;5;21;08/06/19;3.718;3;31;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;5;22;08/06/19;3.718;1;39;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;5;23;08/06/19;3.718;3;28;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;5;24;08/06/19;3.718;2;19;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M6;5;25;08/06/19;3.718;1;23;-0,1015385;-0,0631451;0,0127599;Rejected;0,6021000;-0,0066200;-0,0637324
M7;1;1;13/06/19;4.226;5;160;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;1;2;13/06/19;4.226;10;193;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;1;3;13/06/19;4.226;4;85;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;1;4;13/06/19;4.226;5;172;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;1;5;13/06/19;4.226;3;41;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;2;6;14/06/19;4.226;0;96;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;2;7;14/06/19;4.226;2;85;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;2;8;14/06/19;4.226;6;116;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;2;9;14/06/19;4.226;2;60;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;2;10;14/06/19;4.226;3;72;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;3;11;15/06/19;4.226;0;20;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;3;12;15/06/19;4.226;5;126;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;3;13;15/06/19;4.226;6;134;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;3;14;15/06/19;4.226;0;56;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;3;15;15/06/19;4.226;2;106;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;4;16;16/06/19;4.226;4;104;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;4;17;16/06/19;4.226;1;36;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;4;18;16/06/19;4.226;4;80;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;4;19;16/06/19;4.226;4;126;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;4;20;16/06/19;4.226;1;43;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;5;21;17/06/19;4.226;2;39;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;5;22;17/06/19;4.226;2;41;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;5;23;17/06/19;4.226;4;96;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;5;24;17/06/19;4.226;1;59;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M7;5;25;17/06/19;4.226;0;28;-0,1438462;-0,0381342;-0,1455357;Rejected;0,6245000;-0,0199085;-0,0110286
M8;1;1;13/6/19;4.578;4;204;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;1;2;13/6/19;4.578;7;141;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;1;3;13/6/19;4.578;2;66;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;1;4;13/6/19;4.578;6;283;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;1;5;13/6/19;4.578;3;69;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;2;6;14/6/19;4.578;6;123;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;2;7;14/6/19;4.578;7;121;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;2;8;14/6/19;4.578;3;77;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;2;9;14/6/19;4.578;1;37;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;2;10;14/6/19;4.578;3;45;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;3;11;15/6/19;4.578;4;120;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;3;12;15/6/19;4.578;2;39;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;3;13;15/6/19;4.578;1;35;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;3;14;15/6/19;4.578;4;99;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;3;15;15/6/19;4.578;3;98;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;4;16;16/6/19;4.578;2;45;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;4;17;16/6/19;4.578;3;60;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;4;18;16/6/19;4.578;3;48;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;4;19;16/6/19;4.578;2;81;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;4;20;16/6/19;4.578;1;148;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;5;21;17/6/19;4.578;0;41;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;5;22;17/6/19;4.578;3;62;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;5;23;17/6/19;4.578;2;81;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;5;24;17/6/19;4.578;0;16;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M8;5;25;17/6/19;4.578;3;52;-0,1538462;-0,0439517;0,1123345;Chosen;0,8957000;-0,0111306;-0,0136527
M11;1;1;25/06/19;3.784;5;106;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;1;2;25/06/19;3.784;3;90;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;1;3;25/06/19;3.784;9;373;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;1;4;25/06/19;3.784;5;127;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;1;5;25/06/19;3.784;incomplete;incomplete;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;2;6;26/06/19;3.784;6;139;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;2;7;26/06/19;3.784;3;100;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;2;8;26/06/19;3.784;incomplete;incomplete;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;2;9;26/06/19;3.784;5;99;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;2;10;26/06/19;3.784;incomplete;incomplete;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;3;11;27/06/19;3.784;7;427;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;3;12;27/06/19;3.784;2;41;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;3;13;27/06/19;3.784;2;14;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;3;14;27/06/19;3.784;2;58;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;3;15;27/06/19;3.784;3;91;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;4;16;28/06/19;3.784;1;22;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;4;17;28/06/19;3.784;3;74;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;4;18;28/06/19;3.784;4;167;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;4;19;28/06/19;3.784;5;176;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;4;20;28/06/19;3.784;1;20;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;5;21;29/06/19;3.784;incomplete;incomplete;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;5;22;29/06/19;3.784;4;20;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;5;23;29/06/19;3.784;2;36;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;5;24;29/06/19;3.784;5;113;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M11;5;25;29/06/19;3.784;0;12;-0,1430310;-0,0678286;-0,0998720;Rejected;0,7383000;-0,0455728;-0,0523363
M12;1;1;25/06/19;3.967;7;785;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
M12;1;2;25/06/19;3.967;4;141;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
M12;1;3;25/06/19;3.967;6;1243;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
M12;1;4;25/06/19;3.967;incomplete;incomplete;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
M12;1;5;25/06/19;3.967;incomplete;incomplete;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
M12;2;6;26/06/19;3.967;8;192;-0,1363203;-0,0612367;0,0825448;Rejected;0,6463000;-0,0224353;-0,0383418
